embedder,k,accuracy
emilyalsentzer/Bio_ClinicalBERT,3,0.15
emilyalsentzer/Bio_ClinicalBERT,4,0.15
emilyalsentzer/Bio_ClinicalBERT,5,0.15
emilyalsentzer/Bio_ClinicalBERT,6,0.2
Qwen/Qwen3-Embedding-0.6B,3,0.7
Qwen/Qwen3-Embedding-0.6B,4,0.8
Qwen/Qwen3-Embedding-0.6B,5,0.8
Qwen/Qwen3-Embedding-0.6B,6,0.85
all-MiniLM-L6-v2,3,0.5
all-MiniLM-L6-v2,4,0.5
all-MiniLM-L6-v2,5,0.5
all-MiniLM-L6-v2,6,0.5
jinaai/jina-embeddings-v3,3,0.55
jinaai/jina-embeddings-v3,4,0.6
jinaai/jina-embeddings-v3,5,0.75
jinaai/jina-embeddings-v3,6,0.8
abhinand/MedEmbed-large-v0.1,3,0.65
abhinand/MedEmbed-large-v0.1,4,0.65
abhinand/MedEmbed-large-v0.1,5,0.7
abhinand/MedEmbed-large-v0.1,6,0.7
BAAI/bge-base-en-v1.5,3,0.5
BAAI/bge-base-en-v1.5,4,0.5
BAAI/bge-base-en-v1.5,5,0.55
BAAI/bge-base-en-v1.5,6,0.55
BAAI/bge-large-en-v1.5,3,0.7
BAAI/bge-large-en-v1.5,4,0.7
BAAI/bge-large-en-v1.5,5,0.7
BAAI/bge-large-en-v1.5,6,0.7
BAAI/bge-small-en-v1.5,3,0.75
BAAI/bge-small-en-v1.5,4,0.75
BAAI/bge-small-en-v1.5,5,0.75
BAAI/bge-small-en-v1.5,6,0.8
intfloat/multilingual-e5-base,3,0.4
intfloat/multilingual-e5-base,4,0.45
intfloat/multilingual-e5-base,5,0.5
intfloat/multilingual-e5-base,6,0.6
sentence-transformers/all-mpnet-base-v2,3,0.55
sentence-transformers/all-mpnet-base-v2,4,0.7
sentence-transformers/all-mpnet-base-v2,5,0.7
sentence-transformers/all-mpnet-base-v2,6,0.85
pritamdeka/S-PubMedBert-MS-MARCO,3,0.35
pritamdeka/S-PubMedBert-MS-MARCO,4,0.4
pritamdeka/S-PubMedBert-MS-MARCO,5,0.5
pritamdeka/S-PubMedBert-MS-MARCO,6,0.55
microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,3,0.0
microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,4,0.2
microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,5,0.2
microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,6,0.25
emilyalsentzer/Bio_ClinicalBERT,7,0.25
emilyalsentzer/Bio_ClinicalBERT,8,0.25
emilyalsentzer/Bio_ClinicalBERT,9,0.25
Qwen/Qwen3-Embedding-0.6B,7,0.9
Qwen/Qwen3-Embedding-0.6B,8,0.9
Qwen/Qwen3-Embedding-0.6B,9,0.9
all-MiniLM-L6-v2,7,0.6
all-MiniLM-L6-v2,8,0.6
all-MiniLM-L6-v2,9,0.6
jinaai/jina-embeddings-v3,7,0.8
jinaai/jina-embeddings-v3,8,0.9
jinaai/jina-embeddings-v3,9,0.9
abhinand/MedEmbed-large-v0.1,7,0.75
abhinand/MedEmbed-large-v0.1,8,0.75
abhinand/MedEmbed-large-v0.1,9,0.8
BAAI/bge-base-en-v1.5,7,0.75
BAAI/bge-base-en-v1.5,8,0.75
BAAI/bge-base-en-v1.5,9,0.85
BAAI/bge-large-en-v1.5,7,0.75
BAAI/bge-large-en-v1.5,8,0.75
BAAI/bge-large-en-v1.5,9,0.8
BAAI/bge-small-en-v1.5,7,0.85
BAAI/bge-small-en-v1.5,8,0.85
BAAI/bge-small-en-v1.5,9,0.95
intfloat/multilingual-e5-base,7,0.6
intfloat/multilingual-e5-base,8,0.65
intfloat/multilingual-e5-base,9,0.7
sentence-transformers/all-mpnet-base-v2,7,0.85
sentence-transformers/all-mpnet-base-v2,8,0.9
sentence-transformers/all-mpnet-base-v2,9,0.9
pritamdeka/S-PubMedBert-MS-MARCO,7,0.65
pritamdeka/S-PubMedBert-MS-MARCO,8,0.65
pritamdeka/S-PubMedBert-MS-MARCO,9,0.7
microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,7,0.3
microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,8,0.3
microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,9,0.4
emilyalsentzer/Bio_ClinicalBERT,10,0.25
emilyalsentzer/Bio_ClinicalBERT,11,0.3
emilyalsentzer/Bio_ClinicalBERT,12,0.3
emilyalsentzer/Bio_ClinicalBERT,13,0.3
emilyalsentzer/Bio_ClinicalBERT,14,0.3
emilyalsentzer/Bio_ClinicalBERT,15,0.3
emilyalsentzer/Bio_ClinicalBERT,16,0.3
emilyalsentzer/Bio_ClinicalBERT,17,0.35
emilyalsentzer/Bio_ClinicalBERT,18,0.35
emilyalsentzer/Bio_ClinicalBERT,19,0.35
Qwen/Qwen3-Embedding-0.6B,10,0.9
Qwen/Qwen3-Embedding-0.6B,11,0.9
Qwen/Qwen3-Embedding-0.6B,12,0.9
Qwen/Qwen3-Embedding-0.6B,13,0.9
Qwen/Qwen3-Embedding-0.6B,14,0.9
Qwen/Qwen3-Embedding-0.6B,15,0.9
Qwen/Qwen3-Embedding-0.6B,16,0.9
Qwen/Qwen3-Embedding-0.6B,17,0.9
Qwen/Qwen3-Embedding-0.6B,18,0.9
Qwen/Qwen3-Embedding-0.6B,19,0.9
all-MiniLM-L6-v2,10,0.75
all-MiniLM-L6-v2,11,0.8
all-MiniLM-L6-v2,12,0.8
all-MiniLM-L6-v2,13,0.85
all-MiniLM-L6-v2,14,0.9
all-MiniLM-L6-v2,15,0.9
all-MiniLM-L6-v2,16,0.95
all-MiniLM-L6-v2,17,0.95
all-MiniLM-L6-v2,18,0.95
all-MiniLM-L6-v2,19,0.95
jinaai/jina-embeddings-v3,10,0.9
jinaai/jina-embeddings-v3,11,0.95
jinaai/jina-embeddings-v3,12,0.95
jinaai/jina-embeddings-v3,13,0.95
jinaai/jina-embeddings-v3,14,0.95
jinaai/jina-embeddings-v3,15,0.95
jinaai/jina-embeddings-v3,16,0.95
jinaai/jina-embeddings-v3,17,0.95
jinaai/jina-embeddings-v3,18,0.95
jinaai/jina-embeddings-v3,19,0.95
abhinand/MedEmbed-large-v0.1,10,0.8
abhinand/MedEmbed-large-v0.1,11,0.8
abhinand/MedEmbed-large-v0.1,12,0.8
abhinand/MedEmbed-large-v0.1,13,0.8
abhinand/MedEmbed-large-v0.1,14,0.85
abhinand/MedEmbed-large-v0.1,15,0.85
abhinand/MedEmbed-large-v0.1,16,0.85
abhinand/MedEmbed-large-v0.1,17,0.85
abhinand/MedEmbed-large-v0.1,18,0.85
abhinand/MedEmbed-large-v0.1,19,0.85
BAAI/bge-base-en-v1.5,10,0.9
BAAI/bge-base-en-v1.5,11,0.9
BAAI/bge-base-en-v1.5,12,0.9
BAAI/bge-base-en-v1.5,13,0.9
BAAI/bge-base-en-v1.5,14,0.9
BAAI/bge-base-en-v1.5,15,0.95
BAAI/bge-base-en-v1.5,16,0.95
BAAI/bge-base-en-v1.5,17,0.95
BAAI/bge-base-en-v1.5,18,0.95
BAAI/bge-base-en-v1.5,19,0.95
BAAI/bge-large-en-v1.5,10,0.85
BAAI/bge-large-en-v1.5,11,0.85
BAAI/bge-large-en-v1.5,12,0.85
BAAI/bge-large-en-v1.5,13,0.9
BAAI/bge-large-en-v1.5,14,0.9
BAAI/bge-large-en-v1.5,15,0.9
BAAI/bge-large-en-v1.5,16,0.9
BAAI/bge-large-en-v1.5,17,0.95
BAAI/bge-large-en-v1.5,18,0.95
BAAI/bge-large-en-v1.5,19,0.95
BAAI/bge-small-en-v1.5,10,0.95
BAAI/bge-small-en-v1.5,11,0.95
BAAI/bge-small-en-v1.5,12,0.95
BAAI/bge-small-en-v1.5,13,0.95
BAAI/bge-small-en-v1.5,14,0.95
BAAI/bge-small-en-v1.5,15,0.95
BAAI/bge-small-en-v1.5,16,1.0
BAAI/bge-small-en-v1.5,17,1.0
BAAI/bge-small-en-v1.5,18,1.0
BAAI/bge-small-en-v1.5,19,1.0
intfloat/multilingual-e5-base,10,0.7
intfloat/multilingual-e5-base,11,0.75
intfloat/multilingual-e5-base,12,0.8
intfloat/multilingual-e5-base,13,0.8
intfloat/multilingual-e5-base,14,0.85
intfloat/multilingual-e5-base,15,0.9
intfloat/multilingual-e5-base,16,0.9
intfloat/multilingual-e5-base,17,0.9
intfloat/multilingual-e5-base,18,0.95
intfloat/multilingual-e5-base,19,0.95
