Query,Score
What is electroconvulsive therapy (ECT) and when is it used?,0.9898231625556946
How many sessions are typically required for an acute course of ECT?,0.9980212450027466
What ECT protocol has the fewest cognitive side effects?,0.9962021708488464
Can patients continue medications during ECT?,0.9963675737380981
What is a key disadvantage of ECT despite its efficacy?,0.9974834322929382
What rTMS protocol has the strongest evidence base?,0.9764530062675476
What are the benefits of iTBS over traditional rTMS?,0.9903106093406677
When is rTMS recommended over ECT?,0.9340049028396606
What is tDCS and for which patients is it suitable?,0.9924701452255249
What surgical neuromodulation treatment is approved for TRD?,0.9747353196144104
What are common side effects of VNS?,0.8911606073379517
Is deep brain stimulation (DBS) effective for MDD?,0.9914051294326782
What makes MST different from ECT?,0.9865062832832336
In what cases is ECT used as a first-line treatment?,0.9858924746513367
What factors can contribute to a poor response to antidepressant treatment in major depressive disorder?,0.9730114340782166
How does CANMAT define treatment-resistant depression versus difficult-to-treat depression?,0.9956037998199463
What should be done when a patient with MDD does not respond to their initial antidepressant?,0.9700866341590881
When is it appropriate to switch antidepressants instead of using an adjunctive medication?,0.9934142827987671
What are the advantages and disadvantages of adjunctive medications in MDD treatment?,0.994976818561554
Which adjunctive medications are considered first-line for difficult-to-treat depression according to CANMAT?,0.9913275837898254
What is the CANMAT recommendation on the use of glutamate modulators such as ketamine for depression?,0.968894362449646
What switching strategies does CANMAT recommend for antidepressants when discontinuation symptoms are a concern?,0.9998642206192017
What is the role of psychotherapy when antidepressant treatment has failed?,0.9789028167724609
Is psychedelic-assisted psychotherapy recommended by CANMAT for treatment-resistant depression?,0.9972220659255981
My patient is in remission from depression. What should I do to maintain remission?,0.9963833093643188
What is recommended to prevent recurrence in patients who have achieved remission from depression?,0.9920400381088257
Which patients need antidepressant treatment for more than one year?,0.9944711923599243
What are the risk factors for recurrence of depressive episodes?,0.9964016675949097
How should I discontinue antidepressants to minimize withdrawal symptoms?,0.9872487187385559
What is the difference between discontinuation symptoms and depressive relapse?,0.9882444143295288
Which antidepressants have the highest risk of discontinuation symptoms?,0.9814321994781494
Which antidepressants have the lowest risk of discontinuation symptoms?,0.9868626594543457
Is hyperbolic tapering a recommended approach for stopping antidepressants?,0.9924006462097168
What psychological strategies can help during antidepressant tapering?,0.9964635968208313
What is Measurement-Based Care (MBC) in the treatment of depression?,0.9940962791442871
How does MBC improve treatment outcomes in MDD?,0.9947444200515747
What types of scales are preferred in busy clinical settings for MBC?,0.9566365480422974
Can MBC be useful in assessing suicidal ideation?,0.9980018734931946
What is considered early improvement when using symptom scales in MDD?,0.9081884622573853
What are the definitions of response and remission using measurement-based care?,0.989083468914032
When should clinicians consider changing treatment based on MBC results?,0.9261078238487244
How often should MBC scales be administered during acute treatment phases?,0.9528997540473938
What lab tests are recommended for patients on lithium?,0.9901782274246216
What metabolic parameters should be monitored in patients on medications associated with weight gain?,0.9744873046875
What are Digital Health Interventions (DHIs)?,0.9908851981163025
What is the first-line use of guided iCBT DHIs according to CANMAT?,0.9997950196266174
Are chatbots recommended for treating MDD?,0.9939464926719666
When are self-directed DHIs recommended for MDD?,0.9961994290351868
What are some risks associated with using DHIs?,0.9978494644165039
How can clinicians evaluate the efficacy of a DHI?,0.9980779886245728
What factors impact access to DHIs?,0.9936274290084839
What is the difference between guided and unguided DHIs?,0.9971520900726318
What should clinicians look for in a DHI's privacy and security policy?,0.986724317073822
Why is digital literacy important for clinicians using DHIs?,0.9927564263343811
"For a patient with moderate severity MDD and low safety risk, is pharmacotherapy or psychotherapy preferred?",0.9967604279518127
What is the optimal number of psychotherapy sessions for most patients according to CANMAT?,0.9574978351593018
When is it recommended to combine pharmacotherapy with psychotherapy in MDD treatment?,0.9971267580986023
Which psychotherapies are first-line treatments for MDD?,0.9973732233047485
What factors influence the selection of an initial psychotherapy?,0.9885162115097046
Can cultural and religious factors be integrated into evidence-based psychotherapies?,0.9794925451278687
What CAM treatment is recommended as first-line for mild MDD?,0.998085618019104
Is acupuncture recommended for moderate or severe MDD?,0.9921303391456604
Is pharmacogenetic testing recommended routinely when selecting antidepressants?,0.9865469932556152
What should clinicians monitor for in the first 4 weeks of starting antidepressant treatment?,0.9950554370880127
"For a patient with MDD and a recent suicide attempt, what psychological treatment has the strongest evidence to reduce suicide attempts?",0.9937833547592163
When is electroconvulsive therapy (ECT) considered a first-line treatment for MDD?,0.9842963814735413
What is the recommended frequency of psychotherapy sessions for optimal outcomes?,0.9755123257637024
Which first-line antidepressants have superior efficacy and acceptability according to the CANMAT guidelines?,0.9993058443069458
Which antidepressant is associated with QTc prolongation and may require ECG monitoring?,0.9940008521080017
Which antidepressants are associated with a lower risk of sexual dysfunction?,0.9979667663574219
What is the CANMAT recommendation for managing MDD in patients over age 65?,0.7659701108932495
What dietary precautions are necessary when prescribing MAOIs?,0.9970691800117493
Can metacognitive therapy (MCT) be considered for treating MDD?,0.9988911747932434
What is the CANMAT position on routine use of EEG or biomarkers to guide antidepressant treatment?,0.9779534339904785
Which CAM interventions have been downgraded due to recent evidence?,0.9810040593147278
What is the CANMAT recommendation on using psychotherapy in patients with MDD and comorbid personality disorder?,0.9948615431785583
Which medication combination was approved in the US for MDD but is not available in Canada?,0.9994564652442932
How should antidepressants be selected for patients with mixed features of MDD?,0.9924432635307312
